method,parameter,value,reason
Data,real benchmark source,Zenodo record 4562782,"Public Xi and Li benchmark archive with real scRNA-seq doublet labels."
Data,real datasets used,all 16 RDS files,"Uses the full set of available real benchmark conditions."
Data,real max cells,3000 for datasets above 3000 cells,"Keeps runtime feasible on the local Windows machine."
Data,subsampling seed,7,"Makes processed real datasets reproducible."
Data,doublet cap during subsampling,35% of processed cells,"Preserves positive examples without letting high-rate datasets dominate."
Preprocessing,min_genes_per_cell,50,"Removes very low-information cells for visualization and marker analysis."
Preprocessing,min_cells_per_gene,3,"Removes genes with too little support for downstream analysis."
Preprocessing,normalization,target_sum=10000,"Standard library-size normalization before log transform."
Preprocessing,transform,log1p,"Stabilizes expression values for PCA and marker analysis."
Preprocessing,highly_variable_genes,top 2000 or all genes if fewer,"Focuses PCA and clustering on informative genes."
Preprocessing,scaling,max_value=10,"Limits extreme scaled expression values."
Preprocessing,neighbors,15 neighbors and up to 30 PCs,"Standard graph construction for UMAP and Leiden clustering."
Preprocessing,clustering,Leiden resolution 0.5,"Used for downstream UMAP and marker-impact analysis."
Scrublet,expected_doublet_rate,ground-truth rate per processed dataset,"Keeps thresholding comparable to the known benchmark rate."
Scrublet,random_seed,7,"Makes simulated doublet generation reproducible."
DoubletFinder,pN,0.25,"Common DoubletFinder artificial-doublet proportion."
DoubletFinder,pK,0.10,"Fixed default used for reproducibility across Seurat/DoubletFinder versions; optional command-line argument supports sensitivity checks."
DoubletFinder,PCs,1:20,"Uses leading expression structure while avoiding overfitting small datasets."
DoubletFinder,nExp,ground-truth doublet count adjusted by homotypic proportion,"Matches expected doublet burden while accounting for same-cluster doublets."
DoubletFinder,implementation,Seurat-v5-compatible pANN workflow,"Avoids local Seurat metadata compatibility issue while preserving the core algorithm."
scDblFinder,random_seed,7,"Makes classifier and simulated-doublet steps reproducible."
scDblFinder,classifier settings,package defaults,"Uses the recommended Bioconductor workflow without extra tuning."
Marker impact,dataset,pbmc-1A-dm,"Representative real PBMC dataset where scDblFinder had the best F1."
Marker impact,removal method,scDblFinder,"Uses the best-F1 method for the selected representative dataset."
Evaluation,positive label,doublet,"All metrics treat true doublets as the positive class."
Evaluation,runtime,wall-clock seconds per dataset-method run,"Provides a practical usability comparison."
Evaluation,ranking metrics,AUROC and AUPRC,"Evaluates score quality independent of hard thresholds."
Evaluation,calibrated top-N,known processed doublet count,"Compares score quality under an equal doublet-call budget for all methods."
